package_name,declared_requirement,version,dependency_type,parent_dependency,ecosystem,cve_id,severity,cvss_score,epss,kev,fixed_version,published,imported_in_files,import_count,max_criticality,reachability_score,criticality_score,severity_score,exploitability_score,final_risk_score,risk_category
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2017-98,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2018-32,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2019-132,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2019-133,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2019-62,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2019-63,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2020-148,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2020-149,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2021-108,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2021-59,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2023-192,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2023-207,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,PYSEC-2023-212,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
certifi,,2024.2.2,transitive,requests,PyPI,GHSA-248v-346w-9cwc,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
certifi,,2024.2.2,transitive,requests,PyPI,GHSA-43fp-rhv2-5gv8,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
certifi,,2024.2.2,transitive,requests,PyPI,GHSA-xqr8-7jwr-rhp7,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
certifi,,2024.2.2,transitive,requests,PyPI,PYSEC-2022-42986,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
certifi,,2024.2.2,transitive,requests,PyPI,PYSEC-2023-135,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
certifi,,2024.2.2,transitive,requests,PyPI,PYSEC-2024-230,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
idna,,3.6,transitive,requests,PyPI,GHSA-jjg7-2v4v-x38h,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
idna,,3.6,transitive,requests,PyPI,PYSEC-2024-60,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
